,source,target
226500,if we bring them up like this the lawyers will crucify us.,we bring them in looking like this civil liberty lawyers'll crucify us.
261846,"she's all like ""oh there's all these guys having sex with me for money.""","she keeps saying ""there's a lot of guys who sleep with me for money."""
104039,then you can suck my obituary.,you can write my obituary!
362426,you're like a nervous schoolgirl.,you see you look like a nervous schoolgirl.
217325,what the hell is that?,that was cool. - what is this?
335904,you have a girlfriend satan?,do you have a girlfriend evil?
2090,the motherfuckers hate each other.,they hate each other.
151661,and i'm gonna stop by blair's and then i'm gonna go to the store and try to get the biggest dick.,okay well i'll stop by blair's and then i'll go to the market and try to upgrade for a bigger bird.
522745,damn did you let mcclaugherty go?,you let mcclaugherty go free?
73725,i wouldn't be surprised if she strangled me in my sleep.,i wouldn't put it past her to smother me in my sleep.
533978,he expelled me... for the rest of the season because i didn't go to that stupid test.,he benched me... for the rest of the season cause i didn't take the test.
369253,i'll train him to shit in the toilet mama,i'll teach him to use the bathroom mama.
243759,he's still sucking air.,he's still breathing.
364720,if you come back here he'll die.,you come back in he dies.
101255,that... that thief!,the... the thief!
414559,fuck it i'm calling the cops.,i'm calling the cops man.
347098,your breathing is boring.,breathing is boring.
341325,"""how can they be interested in sex with human women?","""then how could they have any sexual interest in human women?"
505139,creed shot him with a left hand.,creed with a left hand.
230685,you want to see crazy?,you just want to see?
363100,can i still shoot him?,can i get another shot?
431581,you smell like second hand smoker.,you feel like a passive smoker.
412723,on the contrary i think that this is the only way to convince people that a country is populated with a population of crazy.,on the contrary i think it's just a way of convincing people that the world is populated only by madmen.
541307,i turned down a job on wall street to help save the world and now i'm in bed with an old guy who can't get a boner!,i turned down my job on wall street to help save the world and now i'm lying in bed with an old man who can't stand.
114250,shoot him!,take him down!
383005,you're joking right? - this is ridiculous. - ya i know you three laws...,this is crazy. - this is crazy. - yes i know there are three laws here.
46110,"""watch the door; shoot anything that comes through.""","""keep an eye out for the door "" he said."
366471,i... have a parasitic twin growing out of my stomach.,i... i have parishioners growing in my stomach.
192946,my father's gonna go crazy.,your father's gonna flip. yeah.
162263,i just think he's ugly.,you know i think it's ugly.
198310,open your eyes scrawny.,open your eyes skinny boy.
456408,how was the sex? talia...,and what was the sex like?
131890,he would have wished you could throw the ball better and eat with your mouth shut.,well i'm sure he wishes you were good at throwing footballs or eating with your mouth closed.
419626,your daughter would scare cossacks!,your daughter would have scared the cossacks!
414499,he had chosen this woman and the cruel insanity of her came.,this was the woman he had chosen and who had been so cruelly taken from him.
100837,he was insane.,he was mad.
401075,my uncle also thought it was the paper but he had anal cancer.,my uncle thought it was toilet paper too but it was a terminal cancer.
36657,it's fucking rabbit.,it's rabbit.
109311,this hellhole was better than the slave pits of giedi prime any day.,this hole was still much better than the slaying pits of giedi prime.
232663,the rape of sunside would continue expand and finally engulf all.,the wrecking of the suns will continue spreading eventually engulfing everything.
567529,you think you have the last word but you don't. pigs!,you think you have the last word but you're wrong.
262258,"""we better find out if they shoot spies.""","""first we have to find out if they're shooting spies."""
77477,your husband and daughter being obnoxious.,the fact that your husband is a prodigy with your daughter.
200471,then go and be sick in your cabin mr. christian.,i'm sick of being in your cabin mr. christian.
452067,you're insane if you say no. - i don't care that's what i want to do in hollywood or tv but good tv american tv.,you'll be mad to say no i don't care that's it i want to do hollywood films or tv but cool tv american tv
451520,i want to be able to hit the wall if i need another shot.,i want to be able to bang it against the wall if i need to administer another dose.
267802,"""yeah the southern pig "" jake said.","""yeah to the dixie pig "" jake said."
152708,i don't care if you're warren buffett or if you're jimmy buffett. nobody knows if a stock is gonna go up down sideways or in fucking circles. - least of all stockbrokers right?,no one not even warren buffet or jimmy buffet know if the stock will go up down or they'll be running around in a circle.
45939,something's trying to kill me.,something kills me.
243436,your attitude just wrote one too many checks your butt can't cash.,you've just written too much cheque that your bank can't afford.
74226,then he hopped and pushed to the foot of the killing tree sat down on his fleshy buttocks looked up at him with colorless pupils as large as saucers; then he began to chant the incantation that fritz had sounded like a bout of tuberculosis:,then half loping half rolling to the foot of the murderous tree he sat on his meatless haunches and peered at it with his colorless saucerlike irises; he chanted an incantation that sounded to frito like a hacking cough:
356181,i'll give you one if you plug that hole in your nose.,you can have one for free if it will shut that hole under your nose.
225757,it's easy to be philosophical... ...when it's some other poor cuntwith shite for blood.,anyway it's easy to be philosophical...... if it's someone else who's got dope in the blood.
364900,get the fuck out !,get out of here!
237334,eva will you give me your pencil when you die?,when you die will you leave me your pencil box?
127512,the guy treats you like shit 'cause he's a doctor right?,this guy treats you like dirt because you're a woman and he's a big doctor right?
280481,i will after i break a few of his fingers.,when i break his fingers i'll be sure.
496180,it's ridiculous.,that is absurd.
546925,as i recall i pretty much punched you in the head last time.,from what i remember i gave you a pretty good crack on the head last time we met
366045,"and if your wife named your kid ""henri"" and you wanna ignore that silent-h bullshit...",and if your wife names the baby henri and you choose to ignore the dirty silent h...
385416,spit him in the flask! here you go ozzy.,spit him out into the bottle.
138041,no no no no no. no fucking way!,no no no it's not possible.
11930,do you know why anyone would wanna kill that boy?,do you have any idea why anyone would want to kill that boy?
568361,i think you're as awful as i am.,i think you're the same as me.
526275,bore me to death.,he bores me to death.
36995,look i'll just say it and then i'll shut up.,look i'm just gonna say this and then i'll shut up.
449234,you son of a bitch do you think i don't know what you're selling?,you think i don't know what you sell at school?
449692,it should be noted that the last time the two of them had seen the city it was burning quite fiercely a fact which had a lot to do with twoflower introducing the concept of fire insurance to a venial but ignorant populace.,we should recall that when the couple was leaving the city there was a fire of bright flames and that this had a direct connection to the fact that twoflower explained the profitable but unsound public the fire insurance principle.
80701,hey that's what makes it rape right?,that's why it's rape right?
514216,this ain't none of your goddamn business!,it's none of your business!
41669,"and if i hear ""hmmm"" from showers in the locker room i'll eliminate you.","if i hear so much as a ""hmm"" coming from the locker room showers i will suspend you."
499383,i am humiliated but what the hell.,i'm humbled but what can be done.
548286,i think i could ravage all three of you.,i think i'd lower you all three.
306241,so what the fuck do y'all want me to do?,what do you want me to convince him?
55699,what the fuck was that?,what was that ynamenat?
101190,what the hell do you want?,just what the hell you want anyway?
404618,raping her? - i don't care what you say.,i don't care what you say.
64664,yes it's a fantastic penis.,yes he's fantastic.
393245,one strike and no balls.,one strike no ball.
61554,"i've got this ""bullshit"" again.","says ""wrong"" again."
362435,how do you like that you fleabag?,how do you like that fleshy?
524044,and when your navy's getting its ass kicked as thoroughly as ours is the occasional dead hero can be worth a hell of a lot more than the same officer was ever worth alive.,and when someone's fleet gets farted as much as ours sometimes a dead hero may be more valuable than the same officer he was when he was alive.
357055,we can shoot it.,we can take a shot.
389549,ridiculous.,pointless.
135491,and i'm going to take your shooter but i can't because i have your queen.,i'm about to take your bishop but i can't because i got your queen.
148222,monkey move there.,monkey provide support.
19672,i would tie you up knock you out and put him in the land rover.,tie you up knock you out put you in the back of the land rover.
350806,i will save you mistress.,i'll save you ma'am.
265133,the poison would kill her in no time.,the poison would have killed her in moments.
271735,and even though my friends are jerks,even though my friends are cows
332791,shouldland where clean-cut kids cruise shouldland boulevard and the shouldland high team gets their asses kicked by their cross-town rival reality-check tech.,it had-a-country where sharp children crisscrossed the streets of the city-by-country and the city-country football team got a beating from their city rivals reality-check tech.
357057,most people don't tell the guy with the gun to shoot them. most people are like cristina.,most people wouldn't tell a guy with a gun to shoot them.
186734,how many more gotta get killed?,how many people will die?
530286,come on guys let's get ourselves some fucking mountain dew.,come on guys let's have some mountain dew.
