,source,target
145842,take your fucking hands off my foot!,take your manoos of my shoes!
282105,you think you're a dope boy?,you think you're a diler?
68197,she has a broken nose vaginal tears,he has a broken nose and a torn scabbard.
392835,bella the only thing that can hurt me is you.,bella you can only hurt me.
457769,let's kill your friend see how you feel!,if she killed your friend how would you feel?
92505,two of the kids were of an age where they had goofy teeth.,two of them were when their teeth fell.
342219,you can always tell the winners. you can tell the losers.,you'll know the winners and losers.
326846,for your own good quit fucking around.,for my own good stop it.
362791,"did i raise ajackass?""","did i raise you? """
287031,you wanted the past dead and me along with it.,you wanted to let the past go me with her.
160918,αre you shitting me?,you're kidding me.
98989,don't you fucking dare presume...,don't you dare say...
412916,i kill people for less!,i've killed for less!
234342,were you really thinking of killing yourself?,did you really think you were gonna kill yourself?
468410,you seemed a nightmare.,you were having a nightmare.
514556,you have to have sex with cuddy.,you have to sleep with cuddy.
258166,the situation grows worse when she meets luis martinez... a mediocre and cowardly bullfighter... with whom she falls in love.,the situation gets worse when ruth meets luis martinez... the average and cowardly torrential he falls in love with.
145599,you fucked up... what are we accused of?,ni locos... what are we accused of?
472700,the woman is an attention seeker.,the woman just wants attention.
274523,he can't train to the jungle junk music.,he can't practice in this kind of music.
40315,let me guess. you think this is a stupid idea.,let me guess you think the whole idea is lame?
190911,i'm hot and i'm fuckin' bored.,it's hot and i'm bored.
513164,he was truly elrood's bastard son raised quietly by house taligari.,he really was an illegitimate elrood's son discreetly raised by the house of taligari.
321280,but marsellus wallace don't like to be fucked by anybody except mrs. wallace.,but mr marsellus wallace doesn't like to be taken by anyone other than mrs wallace
193094,dang ling i can't understand a damn word your daddy say.,dang ling i don't understand a word to your father!
463311,half as smart and twice as crooked,half so smart and double so wrong
24195,gosh darn that wal-mart sure does have a nice photo shop.,hell they do really nice pictures of wal-mart.
421136,you screw up and i swear to god...,if you screw this up i swear...... i know.
538888,yeah he was in a fucking canoe and he had a half a dozen swahili rowers.,yes miss in a dugout canoe. he had a half a dozen swahili paddlers. map-making he was.
85859,well we were or it was my first notch on the butt.,we were fourteen or fifteen. she was the first red cross in my diary.
459346,and i say fuck you to all those guys who do not love you for you.,and i'm sending all the guys who don't love you for who you are.
553065,what the hell did you give me?,what kind of pills you give me?
246678,uh-uh. don't feed me that legacy crap camille.,don't feed me about that legacy camille.
378170,that new shit.,the new stuff.
479700,you need good hard rock to grow a witch believe me.,"you need a good hard rock to grow believe me. """
333189,what the fuck?,what's going on?
193435,damn charlie.,god charlie.
459546,damn this guy is a beast!,wow this guy is a nice animal.
